,LotArea,PoolArea,GarageArea,OverallCond,YearBuilt,MSZoning,SalePrice
789,12205,0,444,8,1966,RL,187500
1039,1477,0,286,4,1970,RM,80000
868,14762,0,672,6,1948,RL,169000
782,16285,0,605,5,2001,RL,187100
611,10395,0,564,6,1978,RL,148000
933,8487,0,570,5,2004,RL,190000
633,9250,0,260,7,1954,RL,139400
1301,7500,0,213,7,1942,RL,177500
1405,3842,0,482,5,2004,RM,275000
554,10625,0,871,5,2003,RL,284000
1158,11932,0,830,5,2007,RL,235128
762,8640,0,614,5,2009,FV,215200
815,12137,0,598,5,1998,RL,224900
1351,9247,0,490,6,1962,RL,171000
108,8500,0,0,7,1919,RM,115000
132,7388,0,624,6,1959,RL,150750
28,16321,0,319,6,1957,RL,207500
1212,9340,0,234,6,1941,RL,113000
1137,6342,0,0,8,1875,RL,94000
1268,14100,0,1014,9,1935,RL,381000
1427,10930,0,288,6,1945,RL,140000
1168,13728,0,540,7,1935,RL,235000
667,8125,0,575,5,1994,RL,193500
1141,10304,0,484,7,1976,RL,197500
175,12615,0,576,7,1950,RL,243000
926,11999,0,656,5,2003,RL,285000
208,14364,0,454,5,1988,RL,277000
1375,10991,0,722,5,2007,RL,239000
752,9236,0,576,5,1997,RL,217000
600,10927,0,736,5,2005,RL,275000
379,8123,0,463,5,2000,RL,179000
1130,7804,0,576,3,1928,RL,135000
661,46589,0,711,7,1994,RL,402000
816,11425,0,275,6,1954,RL,137000
26,7200,0,576,7,1951,RL,134800
891,11184,0,440,5,1978,RL,172500
883,6204,0,440,5,1912,RL,118500
890,8064,0,576,7,1949,RL,122900
1374,10625,0,936,5,2005,FV,250000
988,12046,0,551,6,1976,RL,195000
519,10918,0,282,9,1926,RL,234000
632,11900,0,544,5,1977,RL,82500
1014,11664,0,240,5,1948,RL,119200
89,8070,0,0,5,1994,RL,123600
964,11316,0,510,5,2002,RL,214900
972,7892,0,264,5,1979,RL,99500
305,10386,0,888,5,2004,RL,305900
188,7018,0,528,5,1979,RL,153337
457,53227,0,529,6,1954,RL,256000
525,7500,0,453,5,2005,FV,176000
818,8816,0,440,7,1971,RL,155000
635,10896,0,0,7,1914,RH,200000
1442,11003,0,812,5,2008,FV,310000
153,13500,0,564,7,1960,RL,235000
303,9800,0,552,7,1972,RL,149900
234,7851,0,440,5,2002,RL,216500
943,25000,0,576,4,1967,RL,143000
362,7301,0,672,5,2003,RL,198500
675,2289,0,440,6,1978,RL,148500
349,20431,0,706,5,2005,RL,437154
